,Niger
176,0.107986119
177,0.108925128
178,0.107047109
179,0.10516909
180,0.10329107
181,0.10329107
182,0.10423008
183,0.107047109
184,0.119254235
185,0.151180566
186,0.176533829
187,0.175594819
188,0.145546508
189,0.107047109
190,0.084510876
191,0.076059788
192,0.07042573
193,0.06854771
194,0.07042573
195,0.076059788
196,0.083571866
197,0.092022953
198,0.099535031
199,0.10516909
200,0.107986119
201,0.108925128
202,0.107047109
203,0.10516909
204,0.10329107
205,0.10235206
206,0.10329107
207,0.10516909
208,0.119254235
209,0.151180566
210,0.175594819
211,0.1737168
212,0.142729479
213,0.10423008
214,0.080754837
215,0.073242759
216,0.066669691
217,0.064791671
218,0.066669691
219,0.072303749
220,0.079815827
221,0.088266914
222,0.095778992
223,0.101413051
224,0.10423008
225,0.10423008
226,0.10235206
227,0.100474041
228,0.098596021
229,0.097657012
230,0.098596021
231,0.101413051
232,0.113620177
233,0.144607498
234,0.169960761
235,0.169021751
236,0.13897344
237,0.100474041
238,0.076998798
239,0.06948672
240,0.063852662
241,0.061974642
242,0.058218603
243,0.063852662
244,0.072303749
245,0.080754837
246,0.088266914
247,0.092961963
248,0.094839983
249,0.092961963
250,0.089205924
251,0.085449885
252,0.082632856
253,0.081693846
254,0.083571866
255,0.087327905
256,0.100474041
257,0.133339381
258,0.161509673
259,0.162448683
260,0.134278391
261,0.095778992
262,0.073242759
263,0.065730681
264,0.060096623
265,0.058218603
266,0.060096623
267,0.065730681
268,0.073242759
269,0.082632856
270,0.090144934
271,0.094839983
272,0.095778992
273,0.094839983
274,0.091083944
275,0.087327905
276,0.084510876
277,0.083571866
278,0.085449885
279,0.089205924
280,0.10423008
281,0.13803443
282,0.165265712
283,0.164326702
284,0.136156411
285,0.097657012
286,0.075120778
287,0.066669691
288,0.061035632
289,0.059157613
290,0.061035632
291,0.071364739
292,0.078876817
293,0.087327905
294,0.095778992
295,0.101413051
296,0.10423008
297,0.10516909
298,0.10423008
299,0.101413051
300,0.100474041
301,0.099535031
302,0.101413051
303,0.10329107
304,0.115498197
305,0.146485518
306,0.17183878
307,0.170899771
308,0.141790469
309,0.10235206
310,0.079815827
311,0.071364739
312,0.065730681
313,0.063852662
314,0.065730681
315,0.071364739
316,0.079815827
317,0.088266914
318,0.095778992
