time,Niger
1/21/2015 17:30,0.012046774
1/21/2015 18:30,0
1/21/2015 19:30,0
1/21/2015 20:30,0
1/21/2015 21:30,0
1/21/2015 22:30,0
1/21/2015 23:30,0
1/22/2015 0:30,0
1/22/2015 1:30,0
1/22/2015 2:30,0
1/22/2015 3:30,0
1/22/2015 4:30,0
1/22/2015 5:30,0.000605296
1/22/2015 6:30,0.073789762
1/22/2015 7:30,0.307547351
1/22/2015 8:30,0.53767568
1/22/2015 9:30,0.720588183
1/22/2015 10:30,0.82361402
1/22/2015 11:30,0.859899499
1/22/2015 12:30,0.83654952
1/22/2015 13:30,0.744344398
1/22/2015 14:30,0.582571234
1/22/2015 15:30,0.382863202
1/22/2015 16:30,0.145204368
1/22/2015 17:30,0.010850543
1/22/2015 18:30,0
1/22/2015 19:30,0
1/22/2015 20:30,0
1/22/2015 21:30,0
1/22/2015 22:30,0
1/22/2015 23:30,0
1/23/2015 0:30,0
1/23/2015 1:30,0
1/23/2015 2:30,0
1/23/2015 3:30,0
1/23/2015 4:30,0
1/23/2015 5:30,0.000590756
1/23/2015 6:30,0.069950769
1/23/2015 7:30,0.297315919
1/23/2015 8:30,0.537585121
1/23/2015 9:30,0.719477409
1/23/2015 10:30,0.8250865
1/23/2015 11:30,0.873105834
1/23/2015 12:30,0.843794581
1/23/2015 13:30,0.752212429
1/23/2015 14:30,0.584809266
1/23/2015 15:30,0.371112597
1/23/2015 16:30,0.147771285
1/23/2015 17:30,0.012607976
1/23/2015 18:30,0
1/23/2015 19:30,0
1/23/2015 20:30,0
1/23/2015 21:30,0
1/23/2015 22:30,0
1/23/2015 23:30,0
1/24/2015 0:30,0
1/24/2015 1:30,0
1/24/2015 2:30,0
1/24/2015 3:30,0
1/24/2015 4:30,0
1/24/2015 5:30,0.000577854
1/24/2015 6:30,0.072925306
1/24/2015 7:30,0.312705095
1/24/2015 8:30,0.558422641
1/24/2015 9:30,0.747556954
1/24/2015 10:30,0.86118641
1/24/2015 11:30,0.907778757
1/24/2015 12:30,0.880189436
